code,nom
J153C,DEPT EXPORTATIONS CENTER MED
J153CC,DPT OPERATION GN
J153D,DEPT EXPORTATIONS  EAST MED
J153DD,DPT EXPORT GN/GNL EAST/MED
J153E,DEPT EXPORTATIONS N.W.E
J153F,DEPT EXPORTATIONS AMERICA
J153FF,DPT.OPERATION GNL
J153H,DEPT EXPORTATIONS GN/GNL WEST MED
J153J,DEPT EXPORTATIONS GN/GNL EAST MED
J1530,SECRETARIAT
J1531,CELLULE DIRECTION
J1532,SECRETARIAT
J154,DIR. COMMERCIALISATION GPL
J154A,DEPT GESTION ASSOCIATIONS GPL
J154AA,DIRECTION VEN GAZ MAR NATIO
J154B,DEPT EXPORTATIONS WEST MED/NWE
J154BB,DPT EXPORT GPL WEST/MED
J154C,DEPT EXPORTATIONS EAST MED/ASIA
J154CC,DPT EXPORT GPL EAST/MED
J154D,DEPT EXPORTATIONS AMERICA
J154DD,DPT OPERATION GPL
J154E,DEPT.EXPORTATIONS  AFRICA
J154H,DEPT EXPORTATIONS GPI- WEST MED
J154J,DEPT EXPORTATIONS GPI- EAST MED
J1540,SECRETARIAT
J1541,CELLULE DIRECTION
J1542,SECRETARIAT
J155,DIR. OPERATIONS HYDROCARBURES GAZEUX
J155A,DEPT OPERATION GN
J155B,DEPT OPERATION GNL
J155C,DEPT OPERATIONS GPL
J155D,UNITE PORTUAIRE OUEST (ARZEW)
J155F,DEPT.EXPLOITATION ET AFFRETEMENT GPL
J155G,DEPT.EXPLOITATION ET AFFRETEMENT GNL
J1550,SECRETARIAT
J1551,CELLULE DIRECTION
J1552,SECRETARIAT
J157,DIRECTION DEV.DE PROJET ET GESTION PORTEFEUILLE
J157A,DEPT.DEVELOPPEMENT DE PROJETS
J157B,DEPT.ETUDES EVALUATIONS AFFAIRES COMPLETEES
J1571,CELLULE DIRECTION
J1572,SECRETARIAT
J16,DIV. COMMERCIALI.PETROL.BRUT/ P.PETROL.
J16A,DIVISION COM PB&PROD PETROL
J16AA,DIRECTION COM PB&CONDENSAT
J16AA1,DPT COM PETROL BRUT
J16AA2,DPT COM CONDENSAT
J16AA3,DPT OPERATION PB&CONDENSAT
J16AB,DIRECTION COM PROD P&DRIVE
J16AB1,DPT COM NAPHT/ESS&DISTILLAT
J16AB2,DPT COM FUELS&BITUMES
J16AB3,DPT COM PRODUITS SPECIAUX
J16AB4,DPT OPER PROD PETROL&DRIVE
J16AC,DIRECTION VENTE PD P/DV M.N
J16AC1,DPT VENTES&OPER CARBURANTS
J16AC2,DPT VENTE&OP BIT&PROD PETROC
J16AC3,DPT VENTE&OP LUBR&PROD SPEC
J16B,DIR COMMERCIALI.PETROLE BRUT CONDENSAT
J16BO,SECRETARIAT
J16B0,SECRETARIAT
J16B1,DEPT COMMERCIALISATION PETROLE BRUT
J16B2,DEPT COMMERCIALISATION CONDENSAT
J16B3,DEPT GEST ASSOCI. PETROLE BRUT/CONDENSAT
J16C,DIR. COMMERC. PROD. PETROLIERS DERIVES
J16CO,SECRETARIAT
J16C1,DEPT COMMERC. NAPHTA/ESSENCES/DISTILLATS
J16C2,DEPT COMMERCIALISATION FUELS
J16C3,DEPT COMMERCIALISATION PRODUITS SPECIAUX
J16D,DIR. OPERATIONS HYDROCARBURES LIQUIDES
J16DO,SECRETARIAT
J16D1,DEPT OPERATIONS BRUT ET CONDENSAT
J16D2,DEPT op. PRODUITS PETROLIERS/DERIVES
J16E,DEPT ANALYSE/REPORTING HYDROC. LIQUIDES
J160,CELLULE DIVISION
J1601,SECRETARIAT
J161,DEPT PLANIF/SYST D'INFORMATION
J161AA,DPT.QUALITE
J162,DIR EXPORTATIONS PETROL/BRUT
J162A,DEPT.GESTION ASSOCIATIONS
J162AA,DPT PLANIFI&REPORTING
J162B,DEPT EXPORTATIONS EUROPE/MED
J162C,DEPT EXPORTATIONS AMERICA
J162D,DEPT EXPORTATIONS ASIA
J162E,UNITE PORUAIRE SKIKDA
J1621,CELLULE DIRECTION
J1622,SECRETARIAT
J163,DIRE XPOR PRD PETROL/FEEDSTOCKS
J163A,DEPT EXPORTATIONS DISTILLATS
J163B,DEPT EXPORTATIONS FUELS
J163C,DPT COM PRODUITS SPECIAUX
J163D,DEPT EXPORTATIONS NAPHTA
J163E,DEPT.EXPORTATIONS CONDENSATS
J1631,CELLULE DIRECTION
J1632,SECRETARIAT
J164,DIRECTION VENTE PD P/DV M.N
J164A,DEPT OPER PETROL BRUT/CONDENSAT
J164B,DEPT OPER PRDTS RAF/DERIVES
J164C,DEPT TRANSPORT MARITIME
J164D,UNITE PORTUAIRE SKIKDA
J1641,CELLULE DIRECTION
J1642,SECRETARIAT
J165,DIRECTION DEVELOPPEMENT ET SUIVI DE PROJETS
J165A,DEPT.SUIVI  DE PROJETS
J165C,DEPT. QUALITE
J165D,DEPT. DEVELOPPEMENT DES PROJETS
J1651,CELLULE DIRECTION
J1652,SECRETARIAT
J17,DIVISION VENTES MARCHE NATIONAL
J170,CELLULE DIVISION
J1701,SECRETARIAT
J171,DEPT.ETUDES ET DEVELOPPEMENT
J172,DEPT.GESTION DU PORTEFEUILLE
J174,DIR. VENTES PROD.PETROL/ DERIV MARCHE NAT
J174A,DEPT.VENTES PRODUITS PETROLIERS ET DERIVES
J174B,DEPT.OPERATIONS PRODUITS PETROLIERS ET DERIVES
J174C,DEPT.IMPORTATIONS
J174D,DEPT. EVALUATION ET VALORISATION
J174E,DEPT VENTES CARBURANTS
J174F,DEPT VENTES LUBRIFIANTS
J174G,DEPT VENTES BITUMES ET PRODUITS SPECIAUX
J174H,DEPT OP.PROD. PETROL / DERIVES MARCHE NAT
J1740,SECRETARIAT
J1741,CELLULE DIRECTION
J1741-1,DEPT OP. PROD. PETROL/DERIVES MARCHE NAT
J1742,SECRETARIAT
J175,DIR. VENTES GAZ MARCHE NATIONAL
J175A,DEPT.VENTES GAZ
J175B,DEPT.OPERATIONS GAZ
J175C,DEPT.VENTES ET OPPERATIONS GPL
J175D,DEPT.VENTES ET OPPERATIONS GAZ INDUSTRIELS
J175E,DEPT VENTES GN ET GAZ DE CHARGE
J175F,DEPT VENTES ET OPERATIONS GPL
J175H,DEPT OPERATIONS GN ET GAZ DE CHARGE
J1750,SECRETARIAT
A,DIRECTION GENERALE SONATRACH  (DG)
A00,STAFF D.G.
A001,SECRETARIAT
A002,CELLULE ADMINISTRATIVE
A01,SECRETARIAT GENERAL DG
A01A,DPT MISSIONS
A01B,DIR GESTION DU PATRIMOINE SIEGE
A01BA,SS DIR SCE GENERAUX
A01BA1,DEPT TRANSPORT
A01BA2,DEPT RESTAU ENTRET ESPACE
A01BA3,DEPT GEST IMMOBILISATIONS
A01BA4,SCE IMPRIM REPROGRAPH
A01BB,SS DIR MAINT GEST TECH
A01BB1,DEPT MAINT
A01BB2,DEPT TRVX NEUFS
A01BB3,DEPT METHODES
A01BC,SS DIR APPRO CONTRAT
A01BC1,DEPT ACHATS
A01BC2,DEPT GEST STCK & MAG
A01BC3,DEPT CONTRAT
A01BD,SS DIR PATR IMMOB ARCHV
A01BD1,DEPT ASSI/REGUL PAT IMMO
A01BD2,DEPT PROS/VALOR PAT IMMO
A01BD3,DEPT ARCHIVES
A01BE,SS DIR COMPTABILITE SIEGE
A01BE1,DEPT COMPATABILITE
A01BE2,DEPT TRESORERIE
A01BE3,DEPT BUDGET
A01BF,SD SUR INT/PROTEC SIEGE-ANNEXES
A01BF1,DPT SYS TECHNIQUES DE SECURITE
A01BF2,DPT PROTECTION / ACCUEIL
A01BF3,SCT ADM / ORDONNENCEMENT
A01B0,SECRETARIAT
A01B1,DEPT ADM GENERALE
A01B2,DEPT REFER REPORTING
A01C,DIR RELATION PUBLIQUES
A01F,DIR RELATIONS PUB
A01J,DIR CONTENU LOCAL
A01K,PROJETS SPECIFIQUES
A011,DEPT ETUDES
A012,DEPT REPORTING
A02,S.I.E.  DG
A03,DIRECTION CORPORATE AFFAIRS
A03A,DIR STARTG & PROSPECTIVE
A03B,DIR PERFORMANCE MANGT
A03C,DIR ADM & LEGAL AFFAIRS
A030,ASSISTANTS
A10,PERSONNEL AMONT GERE PAR DPS (SIEGE)
A12,DIR AFFAIRES SOCIALES
A12A,SOUS DIR OEUVRES SOCIALE
A12A1,DEPT ACTION PROTEC SOCIALES
A12A2,DEPT ENFANCE
A12A3,DEPT SPORT ET LOISIR
A12B,SOUS DIR SANTE
A12B1,DEPT PHARM EQUIPEMENT MEDICAL
A12B2,DEPT MEDECINE SOCIALE
A12B3,DEPT MEDECINE DE TRAVAIL
A12B4,CELLULE TIERS PAYANT
A12C,SOUS DIR ADMINISTRATION ET FIN
A12C1,DEPT FINANCES
A12C2,DEPT JURIDIQUE
A12C3,DEPT RESSOURCES HUMAINES
A12D,SOUS DIR APPROVISIONNEMENT MOYEN
A12D1,DEPT APPRO ET TRANSPORT
A12D2,DEPT INFOR SYS D'INFORMATION
A12D3,DEPT MOYENS GENERAUX
A12D4,DEPT TECHNIQUE
A12E,CENTRE EQUESTRE
A12F,CENTRE NAUTIQUE
A12G,CLUB DE TENNIS
A12H,REGION ALGER
A12J,REGION ARZEW
A12K,REGION BEJAIA
A12L,REGION BOUMERDES
A12M,REGION SKIKDA
A12N,REGION HASSI MESSAOUD
A12P,REGION HASSI R'MEL
A12Q,REGION IN AMENAS
A12R,REGION BISKRA
A12S,REGION ADRAR
A120,ASSIST SURT INTER D'ETABLISSEMENT
A121,DEPT HYGIENE SEC ENVIRONNEMENT
A122,DEPT PASSATION DES MARCES
A123,DEPT CONTROLE INTERNE
A13,INSTITUT ALGERIEN DU PETROLE  IAP
A13A,ECOLE DE BOUMERDES
A13A1,CONSEIL PEDAGOGIQUE
A13A2,SOUS-DIRECTION DES ETUDES
A13A21,DEPT PEDAGOG GEOLOGIE GEOPHY RESERVOIR
A13A22,DEPT PEDAGOG FORAGE PETROLIER
A13A23,DEPT PEDAGOG GAZ RAFF ET PETROCHIMIE
A13A24,DEPT PEDAGOG SECU INDUSTRIELLE ET ENVR
A13A25,DEPT PEDAGOG TRANSP MAINT INSTRUMENTATION
A13A26,DEPT PEDAGOG ENERG NOUVELL ET RENOUVELABLES
A13A27,DEPT PEDAGOG ECONOMIE PETROLIERE
A13A28,DEPT FORMATION
A13A3,DEPT ADM ET FINANCES
A13A4,DEPT MOYENS GENERAUX
A13A5,SERVICE SECU ET INTERVENTION
A13B,ECOLE DE SKIKDA
A13B1,CONSEIL PEDAGOGIQUE
A13B2,SOUS6DIRECTION DES ETUDES
A13B21,DEPT PEDAGOG GAZ RAFF ET PETROCHIMIE
A13B22,DEPT PEDAGOG TRANS HYDR MAINT INDUST
A13B23,DEPT PEDAGOG SECU INDUST ET ENVIRON
A13B24,DEPT FORMATION
A13B3,DEPT ADMINISTRATION ET FINANCES
A13B4,DEPT MOYENS GENERAUX
A13B5,SERVICE SECURITE ET INTERVENTION
A13C,ECOLE D'ARZEW
A13C1,CONSEIL PEDAGOGIQUE
A13C2,SOUS-DIRECTION DES ETUDES
A13C21,DEPT PEDAGOG GAZ RAFF ET PETROCHIMIE
A13C22,�DEPT PEDAGOG TRANSP HYDR MAINT INDUSTRIELLE
A13C23,DEPT PEDAGOG SECU INDUS ET ENVIRONEMENT
A13C24,DEPT FORMATION
A13C25,DEPT PEDAGOGIQUE SECURITE INCENDIE
A13C3,DEPT ADMINISTRATION ET FINANCES
A13C4,DEPT MOYENS GENERAUX
A13C5,SERVICE SECURITE ET INTERVENTION
A13D,ECOLE DE HASSI MESSAOUD
A13D1,CONSEIL PEDAGOGIQUE
A13D2,SOUS-DIRECTION DES ETUDES
A13D21,DEPT PEDAGOG FOR GEOLOG ET PRODUCTION
A13D22,DEPT PEDAGOG MNT ET SECU INDUSTRIELLE
A13D23,DEPT PEDAGOGIQUE EXPLOITATION
A13D24,DEPT FORMATION
A13D3,DEPT ADMINISTRATION ET FINANCES
A13D4,DEPT MOYENS GENERAUX
A13D5,SERVICE SECURITE ET INTERVENTION
A13E,SH MANAGEMENTT ACADEMY
A13E1,CONSEIL PEDAGOGIQUE
A13E10,DEPT TECH.INFORMATION AUDIOVISUEL
A13E11,SCE SURETE INTERNE ETABLISSEMENT
A13E2,COORDINATION MNGT. DE PERFORM
A13E3,SOUS DIR FINANCES
A13E4,SOUS DIR MOYENS & LOGISTIQUE
A13E5,TRAINING DOM. MNGT.&LEADERSHYP
A13E6,TRAINING DOM.MNGT.PRJT.SUPPLYCHAIN
A13E7,TRAINING DOM. MNGT. DES AFFAIRES
A13E8,TRAINING DOM. MNGT.TECHS.INFORO
A13E9,DEPT RESSOURCES HUMAINES
A1300,ASSISTANTS
A1301,ASSIST SUR INTERN D'ETABLISSEMENT
A1302,CONSEIL SCIENTIFIQUE
A1303,DEPT JURIDIQUE
A131,DIR PEDAGOGIQUE KNOWLEDGE MNGT
A131A,DEPT INGENIERIE FOR PEDAGOGIE
A131B,DEPT BUSINESS DEVELOPEMENT
A131C,DEPT KNOWLEDGE MNGT DIGITAL FOR
A132,DIR FINANCES
A132A,DEPT COMPTABILITE
A132B,DEPT TRESORERIE
A132C,DEPT BUDGET CONTROLE  BUDGETAIRE
A133,DIR GESTION DU PERSONNEL
A133A,DEPT ADM DU PERSONNEL
A133B,DPT DEVELOPEMENT DU PERSONEL
A134,DIR TECHNIQUE
A134A,DEPT ETUDES PROJETS D'INFRASTRUCTURES
A134B,DEPT INFORMATIQUE ET SYST DE GESTION
A14,SH MANAGT ACADEMY
A14A,CONSEIL PEDAGOGIQUE
A14B,DEPT RESSOURCES HUMAINES
A14C,DEPT TECHN INFORMAT & AUDIOVIS
A14D,SERVICE SURETE INT ETABLISSEMENT
A14E,COORDINATION MNGT LA PERFORMANCE
A14E1,DEPT GESTION DE LA PERFORMANCE
A14E2,DEPT PLANIFICATION PEDAGOGIQUE
A14E3,DEPT ORG LINFORMAT & REPORTING
A14F,SOU-DIR FINANACES
A14F1,DEPT COMPTABILITE
A14F2,DEPT TRESORERIE CONTROLE GESTION
A14G,SOU-DIR MOYENS ET LOGISTIQUE
A14G1,DEPT LOGISTIQUE
A14G2,DEPT MOG
A14H,TRAINNING DOMAIN MNGT&  LEADERSHIP
A14H1,DEPT PEDAGOGIQUE MNGT
A14H2,DEPT PEDAGOGIQUE LEADERSHIP
A14J,TRAINING DOM MNGT PRJT & SUPY CHAIN
A14J1,DEPT PEDAGOG MNGT PROGET QUALITE
A14J2,DEPT PEDAGOG SUPPLY CHAIN
A14K,TRAINING DOMAIN MNGT DES AFFAIRES
A14K1,DEPT PEDAGOGIQUE MNGT JURIDIQUE
A14K2,DEPT PEDAGOGIQUE MNGT FINANCIER
A14L,TRAINING DOM MNGT LINFORMAT
A14L1,DEPT PEDAGOGIQUE SYST RESEAUX & BD
A14L2,DEPT PEDAGOGIQUE MNGT DES SI
A20,PERSONNEL AVAL  GERE PAR DPS (SIEGE)
B,DIRECTION CORPORATE RESSOURCES HUMAINES
BSR,PERSONNEL NON CADRE SUP EN SUSPENS RELATION/TRAVAIL
B00,STAFF RHC
B001,ASSISTANTS
B002,CELLULE LOGISTIQUE
B003,CELLULE AUDIT
B004,GROUPE COMMUNIC. R. HUM. ET REPORTING
B01,DIRECTION REMUNERATION
B01A,DEPT GESTION PREVISIONNELLE
B01B,DEPT SELECTION RECRUTEMENT & INDUCTION
B01C,DEPT CLASSIFICATION & REMUNERATIONS
B01D,DEPARTEMENT MANAGEMENT DE LA PERFORMANCE
B01E,GROUPE SELECTION & RECRUTEMENT
B01F,DEPT MANAGEMENT DES H.POTENTIELS
B010,SECRETARIAT DVR-REM
B02,DIRECTION FORMATION & PLANIF RHU
B02A,DEPT GESTION FORMATION SIEGE
B02B,DEPT SUIVI FORMATION & REEPORTING
B02C,DEPT INGINEERIE DE LA FORMATION & REPORTING
B02D,DEPT GESTION PREVISIONNELLE
B020,SECRETARIAT FORMATION
B03,DIRECTION GESTION DU PERSONNEL SIEGE
B03A,DEPT GESTION CADRES SUPERIEURS & EXPATRIES
B03B,DEPT GESTION PERSONNEL SIEGE
B03C,DEPT GESTION DES CARIERES
B030,SECRETARIAT DGPS
B04,DIRECTION AFFAIRES SOCIALES
B04A,REGION DE SKIKDA
B04A1,DIVISION OEUVRES SOCIALES
B04A2,DIVISION MEDECINE
B04A3,DIVISION ADMINISTRATION/FIANCES
B04A4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04A5,ANTENNE
B04A9,MEDECINS CONTRACTUELS
B04B,REGION DE BISKRA
B04B1,DIVISION OEUVRES SOCIALES
B04B2,DIVISION MEDECINE
B04B3,DIVISION ADMINISTRATION/FIANCES
B04B4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04B5,ANTENNE
B04B9,MEDECINS CONTRACTUELS
B04C,REGION DE BOUMERDES
B04C1,DIVISION OEUVRES SOCIALES
B04C2,DIVISION MEDECINE
B04C3,DIVISION ADMINISTRATION/FIANCES
B04C4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04C5,ANTENNE
B04C9,MEDECINS CONTRACTUELS
B04D,REGION DE HASSI R' MEL
B04D1,DIVISION OEUVRES SOCIALES
B04D2,DIVISION MEDECINE
B04D3,DIVISION ADMINISTRATION/FIANCES
B04D4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04D5,ANTENNE
B04D9,MEDECINS CONTRACTUELS
B04E,REGION D 'IN AMENAS
B04E1,DIVISION OEUVRES SOCIALES
B04E2,DIVISION MEDECINE
B04E3,DIVISION ADMINISTRATION/FIANCES
B04E4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04E5,ANTENNE
B04E9,MEDECINS CONTRACTUELS
B04F,REGION DE HASSI MESSAOUD
B04F1,DIVISION OEUVRES SOCIALES
B04F2,DIVISION MEDECINE
B04F3,DIVISION ADMINISTRATION/FIANCES
B04F4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04F5,ANTENNE
B04F9,MEDECINS CONTRACTUELS
B04G,REGION D' ALGER
B04G1,DIVISION OEUVRES SOCIALES
B04G2,DIVISION MEDECINE
B04G3,DIVISION ADMINISTRATION/FIANCES
B04G4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04G5,ANTENNE
B04G9,MEDECINS CONTRACTUELS
B04H,REGION D' ARZEW
B04H1,DIVISION OEUVRES SOCIALES
B04H2,DIVISION MEDECINE
B04H3,DIVISION ADMINISTRATION/FIANCES
B04H4,DIVISION EXPL. DES INFRAST./DES MOYENS
B04H5,ANTENNE
B04H9,MEDECINS CONTRACTUELS
B04J,REGION DE BEJAIA
B04K,CENTRE EQUESTRE
B04L,CENTRE NAUTIQUE
B04M,REGION D'ADRAR
B04N,CLUB DE TENNIS
B04P,PERSONNEL ASSOCIATION MOULOUDIA
B040,CELLULE DIRECTION
B0401,SECRETARIAT
B0402,SURETE INTERNE
B0403,DEPT. CONTROLE INTERNE
B0404,DEPT. HSE
B0405,DEPT.PASSATION DES MARCHES
B041,S/DIRECTION OEUVRES SOCIALES
B0411,DEPT.ACTION/PROTECTION SOCIALE
B0412,DEPT.ENFANCE
B0413,DEPT.SPORT ET LOISIRS
B042,S/DIRECTION SANTE
B0421,DEPT.MEDECINE SOCIALE
B0422,DEPT.PHARMACIE/EQUIPEMENT MEDICALE
B0423,DEPT.MEDECINE DE TRAVAIL
B0424,CELLULE TIERS PAYANT
B043,S/DIRECTION ADMINISTRATION/FINANCES
B0431,DEPT.JURIDIQUE
B0432,DEPT.FINANCE
B0433,DEPT.RESSOURCES  HUMAINES
B044,S/DIRECTION APPRO//MOYENS
B0441,DEPT.TECHNIQUE
B0442,DEPT.MOYENS GENERAUX
B0443,DEPT.APPROVISIONNEMENTS/TRANSPORT
B0444,DEPT.INFORMATIQ & SYST D'INFO
B05,DIRECTION REGLEMENTATION & VEILLE SOCIALE
B05A,DEPARTEMENT ETUDE & REGLEMENTATION
B05B,DEPARTEMENT RELATION TRAVAIL & VEILLE SOCIALE
B05C,DEPARTEMENT CONTROLE INTERNE
B050,SECRETARIAT DRVS
B06,DIRECTION COMMUNICATION & STR.IMAGE
B06A,DEPARTEMENT MULTIMEDIAS
B06B,GROUPE COMMUNICATION INTERNE & INSTITUTIONNELLE
B06C,DEPARTEMENT SPONSORING & MACENAT
B06D,DEPARTEMENT PRESSE
B0601,SECRETARIAT
B10,C.P.E.  ALGER
B11,C.P.E.  ARZEW
B11A,DEPT TECHNIQUES DE STRATEGIE/ORGANISATION
B11B,DEPT TECHNIQUES QUANTITATIVES/INFORMATIQUE.
B11C,DEPT TECHNIQUES FINANCIERES ET COMMERCIALES.
B11D,DEPT GESTION DE L'INFORMATION
B11E,"DEPT TECHNIQUES , TECHNOLOGIE ET SCIENCES."
B11F,DEPT ACCEUIL ET MOYENS GENERAUX.
B11G,PROJET AMENAGEMENT / REAL COMPLEXE PEDAGOGIQUE.
B110,CELLULE DIRECTION
B1101,SECRETARIAT
C,DCG  FINANCES
C00,STAFF  DCG  FIN
C00A,SECRETARIAT
C00B,SERVICE ADM. DU PERSONNEL ET DES MOYENS
C00B1,SCE MOYENS GENERAUX
C00B2,SCE INFORMATIQUE
C00B3,SCE RESSOURCES HUMAINES
C00C,PROJET SYSTEME COMPTABLE
C01,DIRECTION FINANCEMENT
C01A,S/D CREDIT
C01B,S/D PREVISION ET INGENIERE FINANCIERE
C01C,S/D DETTE
C01D,DIRECTION OPERATIONS FINANCIERES
C01D0,CELLULE DIRECTION
C01D1,SECRETARIAT
C01D2,SCE.COMMUNICATION FINANCIERE
C01D3,S/DIR FINANCEMENT
C01D4,S/DIR DETTE
C01D5,S/DIR FUSIONS/ACQUISITIONS
C010,SECRETARIAT
C02,DIRECTION TRESORERIE
C02A,S/D OPERATIONS DE TRESORERIE
C02B,S/D OPERATIONS FINANCIERES
C02C,DEPT OPERATIONS ET TRESORERIE
C02D,DEPT RELATIONS BANCAIRES
C02E,DEPT ADM & GESTION SYSTEME KTP
C020,SECRETARIAT
C03,DIRECTION TRESORERIE GROUPE
C03A,S/DIR COORDINATION ET SYNTHESE
C03B,DPT PROCEDURE ET CONTROLE
C03D,S/DIR CASH/GESTION EXCEDENTS
C03E,S/DIR RELATIONS FILIALES
C03F,S/DIR GESTION DU PORTEFEUILLE
C03G,S/DIR RELATIONS BANCAIRES
C03H,S/DIR PREVISIONS/GESTION FLUX
C03J,S/DIR GESTION DES CAUTIONS/ENGAGEMENTS
C030,CELLULE DIRECTION
C031,SECRETARIAT
C04,DIRECTION CONSOLIDATION COMPTABLE
C04A,S/D CONSOLIDATION EN NORMES US GAAP
C04B,S/D  COMPTABILITE
C04C,S/D NORMALISATION COMPTABLE
C04D,S/D CONSOLIDATION EN NORMES ALGERIENNES
C040,CELLULE DIRECTION
C041,SECRETARIAT
C05,DIRECTION CONTROLE DE GESTION
C05A,S/D ANALYSE&GESTION PREVISIONELLE
C05B,S/D CONSOLIDATION DES RESULTATS
C05C,S/D BUDGET D'EXPLOITATION
C05D,S/D STATISTIQUES/CALCUL DES COUTS
C050,CELLULE DIRECTION
C051,SECRETARIAT
C06,DIRECTION ASSUR.FISC/PATRIMOINE
C06A,S/D ASSURANCES
C06B,S/D GESTION DU PATRIMOINE
C06C,S/D FISCALITE
C060,CELLULE DIRECTION
C061,SECRETARIAT
C07,DIRECTION COMPTABILITE SIEGE
C07A,DEPARTEMENT BUDGET ET CONTROLE DE GESTION
C07B,DEPARTEMENT CENTRALISATION COMPTABLE
C07C,DEPARTEMENT TRESORERIE
C07D,DEPARTEMENT FOURNISSEURS
C07E,DEPARTEMENT STOCKS ET IMMOBILISATIONS
C070,CELLULE DIRECTION
C0701,SECRETARIAT
C0702,CELLULE CONTROLE INTERNE
C08A,DEPARTEMENT COORDINATION & SYNTHESE
C08B,ANTENNE CONTROLE TRESORERIE POLE CENTRE
C08C,ANTENNE CONTROLE TRESORERIE POLE SUD
C08D,ANTENNE CONTROLE TRESORERIE POLE OUEST
C08E,ANTENNE CONTROLE TRESORERIE POLE EST
D,DCG STRATEGIE PLANIFICATION & ECONOMIE (SPE)
D00,STAFF SPE
D000,SECRETARIAT
D001,DEPT.ADMINISTRATION ET LOGISTIQUE
D002,PROJET ORGANISATION
D003,CELLULE SUIVI DE REALISATION DU SYSTEME D'INFORMATION
D01,DIRECTION STRATEGIE & PROSPECTIVE
D01A,DEPT.PROSPECTIVE ET VEILLE
D01B,DEPT.STRATEGIE
D01D,DEPARTEMENT COOPERATION INTERNATIONAL
D010,CELLULE DIRECTION
D011,SECRETARIAT
D02,DIRECTION CORPORATE PLANNING
D02A,DEPARTEMENT INVESTISSEMENTS
D02B,DEPARTEMENT PROD. ECHANGES &  COMMERC.
D02C,DEPT.EVALUATION ET PERFORMANCES
D02D,DEPARTEMENT REPORTING
D020,CELLULE DIRECTION
D021,SECRETARIAT
D03,DIRECTION ETUDES ECONOMIQUES
D03A,DEPT. ETUDES ECONOMIQUES AMONT/TRC
D03B,DEPT.NORMALISATION/GESTION DES MODELES
D03C,DEPT.DEPT ETUDES ECO.AVAL/COMMERCIALISATION
D030,CELLULE DIRECTION
